mes_referencia,faixa_etaria,sexo,uf,total,com_sintoma,pct_com_sintoma_chave
9,0-9,Homem,Espírito Santo,934,11,0.0118
9,0-9,Homem,Goiás,807,21,0.026
9,0-9,Homem,Maranhão,1523,37,0.0243
9,0-9,Homem,Mato Grosso,834,16,0.0192
9,0-9,Homem,Mato Grosso do Sul,569,11,0.0193
9,0-9,Homem,Minas Gerais,1921,50,0.026
9,0-9,Homem,Paraná,1164,18,0.0155
9,0-9,Homem,Paraíba,624,15,0.024
9,0-9,Homem,Pará,893,33,0.037
9,0-9,Homem,Pernambuco,1103,14,0.0127
9,0-9,Homem,Piauí,487,15,0.0308
9,0-9,Homem,Rio Grande do Norte,472,10,0.0212
9,0-9,Homem,Rio Grande do Sul,1184,23,0.0194
9,0-9,Homem,Rio de Janeiro,1425,12,0.0084
9,0-9,Homem,Rondônia,337,8,0.0237
9,0-9,Homem,Roraima,461,11,0.0239
9,0-9,Homem,Santa Catarina,1317,17,0.0129
9,0-9,Homem,Sergipe,582,15,0.0258
9,0-9,Homem,São Paulo,1807,30,0.0166
9,0-9,Homem,Tocantins,352,9,0.0256
9,0-9,Mulher,Acre,408,10,0.0245
9,0-9,Mulher,Alagoas,773,21,0.0272
9,0-9,Mulher,Amapá,230,8,0.0348
9,0-9,Mulher,Amazonas,758,11,0.0145
9,0-9,Mulher,Bahia,1075,30,0.0279
9,0-9,Mulher,Ceará,1071,29,0.0271
9,0-9,Mulher,Distrito Federal,328,3,0.0091
9,0-9,Mulher,Espírito Santo,910,9,0.0099
9,0-9,Mulher,Goiás,732,15,0.0205
9,0-9,Mulher,Maranhão,1503,39,0.0259
9,0-9,Mulher,Mato Grosso,719,16,0.0223
9,0-9,Mulher,Mato Grosso do Sul,570,12,0.0211
9,0-9,Mulher,Minas Gerais,1821,45,0.0247
9,0-9,Mulher,Paraná,1083,26,0.024
9,0-9,Mulher,Paraíba,607,14,0.0231
9,0-9,Mulher,Pará,783,16,0.0204
9,0-9,Mulher,Pernambuco,1071,16,0.0149
9,0-9,Mulher,Piauí,537,9,0.0168
9,0-9,Mulher,Rio Grande do Norte,486,13,0.0267
9,0-9,Mulher,Rio Grande do Sul,1120,22,0.0196
9,0-9,Mulher,Rio de Janeiro,1408,6,0.0043
9,0-9,Mulher,Rondônia,307,8,0.0261
9,0-9,Mulher,Roraima,407,7,0.0172
9,0-9,Mulher,Santa Catarina,1298,13,0.01
9,0-9,Mulher,Sergipe,525,18,0.0343
9,0-9,Mulher,São Paulo,1785,25,0.014
9,0-9,Mulher,Tocantins,330,3,0.0091
9,10-19,Homem,Acre,583,13,0.0223
9,10-19,Homem,Alagoas,1112,24,0.0216
9,10-19,Homem,Amapá,265,9,0.034
9,10-19,Homem,Amazonas,1018,21,0.0206
9,10-19,Homem,Bahia,1455,23,0.0158
9,10-19,Homem,Ceará,1392,32,0.023
9,10-19,Homem,Distrito Federal,486,8,0.0165
9,10-19,Homem,Espírito Santo,1155,12,0.0104
9,10-19,Homem,Goiás,1068,19,0.0178
9,10-19,Homem,Maranhão,2023,48,0.0237
9,10-19,Homem,Mato Grosso,877,23,0.0262
